HR(t),Cal(t),Inte(t),METs(t),Steps(t),Timestamp,HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2)
58,1.34900999069214,0,13,0,2016-04-12T07:23:00Z,87.8888888888889,3.94325995445251,1,38,9,101.6,3.32064008712769,1,32,17
58,1.03770005702972,0,10,0,2016-04-12T07:24:00Z,58,1.34900999069214,0,13,0,87.8888888888889,3.94325995445251,1,38,9
56.7777777777778,1.03770005702972,0,10,0,2016-04-12T07:25:00Z,58,1.03770005702972,0,10,0,58,1.34900999069214,0,13,0
53.1666666666667,2.49047994613647,1,24,7,2016-04-12T07:26:00Z,56.7777777777778,1.03770005702972,0,10,0,58,1.03770005702972,0,10,0
55.1428571428571,1.03770005702972,0,10,0,2016-04-12T07:27:00Z,53.1666666666667,2.49047994613647,1,24,7,56.7777777777778,1.03770005702972,0,10,0
65.6666666666667,2.69801998138428,1,26,13,2016-04-12T07:28:00Z,55.1428571428571,1.03770005702972,0,10,0,53.1666666666667,2.49047994613647,1,24,7
73,2.49047994613647,1,24,9,2016-04-12T07:29:00Z,65.6666666666667,2.69801998138428,1,26,13,55.1428571428571,1.03770005702972,0,10,0
78,2.69801998138428,1,26,15,2016-04-12T07:30:00Z,73,2.49047994613647,1,24,9,65.6666666666667,2.69801998138428,1,26,13
84.5,3.11310005187988,1,30,21,2016-04-12T07:37:00Z,81.7777777777778,3.52817988395691,1,34,43,71.8333333333333,1.14146995544434,0,11,0
78.4285714285714,3.52817988395691,1,34,30,2016-04-12T07:38:00Z,84.5,3.11310005187988,1,30,21,81.7777777777778,3.52817988395691,1,34,43
85.7777777777778,3.11310005187988,1,30,22,2016-04-12T07:39:00Z,78.4285714285714,3.52817988395691,1,34,30,84.5,3.11310005187988,1,30,21
90.2222222222222,3.73571991920471,1,36,42,2016-04-12T07:40:00Z,85.7777777777778,3.11310005187988,1,30,22,78.4285714285714,3.52817988395691,1,34,30
93.1428571428571,3.73571991920471,1,36,30,2016-04-12T07:41:00Z,90.2222222222222,3.73571991920471,1,36,42,85.7777777777778,3.11310005187988,1,30,22
88,3.52817988395691,1,34,8,2016-04-12T07:42:00Z,93.1428571428571,3.73571991920471,1,36,30,90.2222222222222,3.73571991920471,1,36,42
85.125,3.52817988395691,1,34,27,2016-04-12T07:43:00Z,88,3.52817988395691,1,34,8,93.1428571428571,3.73571991920471,1,36,30
85.1666666666667,2.90556001663208,1,28,6,2016-04-12T07:44:00Z,85.125,3.52817988395691,1,34,27,88,3.52817988395691,1,34,8
85,1.34900999069214,0,13,0,2016-04-12T07:45:00Z,85.1666666666667,2.90556001663208,1,28,6,85.125,3.52817988395691,1,34,27
81.6666666666667,2.90556001663208,1,28,6,2016-04-12T07:46:00Z,85,1.34900999069214,0,13,0,85.1666666666667,2.90556001663208,1,28,6
77,3.11310005187988,1,30,20,2016-04-12T07:47:00Z,81.6666666666667,2.90556001663208,1,28,6,85,1.34900999069214,0,13,0
79.2857142857143,1.34900999069214,0,13,0,2016-04-12T07:48:00Z,77,3.11310005187988,1,30,20,81.6666666666667,2.90556001663208,1,28,6
